address,size,name,status,module,notes
0x8002E154,0x44,DuelEffect_MarkObjectIfActive,matching_c,game,
0x8002E198,0x28,ScriptCommand_MarkStarted,matching_c,game,
0x8002E1C0,0x20,Script_OpHalt,matching_c,game,
0x8002E1E0,0x74,Campaign_CreatePrimaryDisplayObject,matching_c,game,
0x8002E254,0x13C,Script_OpLoadImageScene,matching_c,game,
0x8002E390,0x100,func_8002E390,matching_c,game,
0x8002E490,0x78,Script_OpStageImage,matching_c,game,
0x8002E508,0x1E8,Script_OpShowImage,matching_c,game,
0x8002E6F0,0x88,Script_OpStoryFlag,matching_c,game,
0x8002E778,0x6C,Script_OpViewportTween,matching_c,game,
0x8002E7E4,0x13C,Script_UpdateViewportTween,matching_c,game,
0x8002E920,0x30,Script_OpOpenCampaignMap,matching_c,game,
0x8002E950,0xFC,Script_OpShowMenu,matching_c,game,
0x8002EA4C,0x13C,Script_OpSound,matching_c,game,
0x8002EB88,0x70,Script_OpFadeBgm,matching_c,game,
0x8002EBF8,0x3C,Script_OpJump,matching_c,game,
0x8002EC34,0x38,Duel_IsPlayerDeckComplete,matching_c,game,
0x8002EC6C,0x56C,func_8002EC6C,matching_c,game,
0x8002F1D8,0x8,Script_OpUnusedHalt14,matching_c,game,
0x8002F1E0,0x8,Script_OpUnusedHalt15,matching_c,game,
0x8002F1E8,0x80,Script_OpFadeOut,matching_c,game,
0x8002F268,0x170,func_8002F4C0,matching_c,game,
0x8002F3D8,0x300,Script_OpDuelResult,matching_c,game,
0x8002F6D8,0x1C,Script_OpGameOver,matching_c,game,
0x8002F6F4,0x1C,Script_OpCredits,matching_c,game,
0x8002F710,0x6C,Script_OpWait,matching_c,game,
0x8002F77C,0x54,Script_OpJumpIfDeckIncomplete,matching_c,game,
0x8002F7D0,0x2C,Script_OpReturnToMenu,matching_c,game,
0x8002F7FC,0x124,Script_RunTick,matching_c,game,
0x8002F920,0x198,Campaign_LoadScenePackageStage,matching_c,game,
0x8002FAB8,0x1C0,Campaign_LoadScenePackage,matching_c,game,
0x8002FC78,0x8,SceneScript_NoOpRecordCallback,matching_c,game,
0x8002FC80,0xFC,func_8002FED8,matching_c,game,
0x8002FD7C,0x7C,SceneScript_UpdateSlots,matching_c,game,
0x8002FDF8,0x1C,Script_ReadByte,matching_c,game,
0x8002FE14,0x24,Script_ReadU16LE,matching_c,game,
0x8002FE38,0x1C,DebugMenu_DimPrimaryDisplayObject,matching_c,game,
0x8002FE54,0x1C,DebugMenu_RestorePrimaryDisplayObject,matching_c,game,
0x8002FE70,0xD0,DebugMenu_UpdateCursorLayout,matching_c,game,
0x8002FF40,0xA0,DebugMenu_Init,matching_c,game,
0x8002FFE0,0x44,func_80030250,matching_c,game,
0x80030024,0x524,func_80030294,matching_c,game,
0x80030548,0x1E0,DebugMenu_UpdateSoundEntry,matching_c,game,
0x80030728,0x23C,func_80030728,matching_c,game,
0x80030964,0xA0,func_80030C10,matching_c,game,
0x80030A04,0xAC,DebugMenu_UpdateTitleEntry,matching_c,game,
0x80030AB0,0xD4,DebugMenu_UpdateMovieEntry,matching_c,game,
0x80030B84,0x4C,DebugMenu_UpdateLoadEntry,matching_c,game,
0x80030BD0,0x4C,DebugMenu_UpdateSaveEntry,matching_c,game,
0x80030C1C,0x78,DebugMenu_UpdateTradeEntry,matching_c,game,
0x80030C94,0x40,DebugMenu_EnterDuel,matching_c,game,
0x80030CD4,0x20,DebugMenu_EnterDeckEditor,matching_c,game,
0x80030CF4,0x30,DebugMenu_EnterMappedMode,matching_c,game,
0x80030D24,0x30,DebugMenu_Exit,matching_c,game,
0x80030D54,0x78,DebugMenu_UpdateTwoPlayerDuelEntry,matching_c,game,
0x80030DCC,0xC,DebugMenu_ResetEntryState,matching_c,game,
0x80030DD8,0x2AC,DebugMenu_Update,matching_c,game,
0x80031084,0x8,func_8003134C,matching_c,game,
0x8003108C,0x94,DebugMenu_UpdateBustUpEntry,matching_c,game,
0x80031120,0x18C,func_800313E8,matching_c,game,
0x800312AC,0x17C,func_80031574,matching_c,game,
0x80031428,0x94,func_800316F0,matching_c,game,
0x800314BC,0xF0,func_80031784,matching_c,game,
0x800315AC,0x460,func_80031874,matching_c,game,
0x80031A0C,0x160,CardList_CreateSlotTextBox,matching_c,game,
0x80031B6C,0x58,func_80031E04,matching_c,game,
0x80031BC4,0x88,BuildDeck_RefreshCountDisplay,matching_c,game,
0x80031C4C,0x98,BuildDeck_ReturnCardToChest,matching_c,game,
0x80031CE4,0xA0,BuildDeck_TakeCardFromChest,matching_c,game,
0x80031D84,0xA0,func_8003201C,matching_c,game,
0x80031E24,0xC8,BuildDeck_AddCard,matching_c,game,
0x80031EEC,0x1A4,func_80031EEC,matching_c,game,
0x80032090,0x48,func_80032328,matching_c,game,
0x800320D8,0x88,func_80032370,matching_c,game,
0x80032160,0x740,func_800323F8,matching_c,game,
0x800328A0,0x28,BuildDeck_TestAndSetInitialized,matching_c,game,
0x800328C8,0x74,BuildDeck_CompareCard,matching_c,game,
0x8003293C,0x74,func_8003293C,matching_c,game,
0x800329B0,0x474,func_80032C48,matching_c,game,
0x80032E24,0x444,BuildDeck_UpdateCardListInput,matching_c,game,
0x80033268,0x3C,BuildDeck_GetActiveCardID,matching_c,game,
0x800332A4,0x1B4,BuildDeck_UpdateDeckPaneInput,matching_c,game,
0x80033458,0x1F4,BuildDeck_UpdateChestPaneInput,matching_c,game,
0x8003364C,0xB4,BuildDeck_UpdatePaneTransition,matching_c,game,
0x80033700,0x38,BuildDeck_HasOpenDeckSlot,matching_c,game,
0x80033738,0x218,func_800339D0,matching_c,game,
0x80033950,0xA8,func_80033BE8,matching_c,game,
0x800339F8,0x18,BuildDeck_EnterNarrowConfirmMode,matching_c,game,
0x80033A10,0x1C,BuildDeck_EnterWideConfirmMode,matching_c,game,
0x80033A2C,0x34,CardList_UpdateSortMode,matching_c,game,
0x80033A60,0xB8,func_80033CF8,matching_c,game,
0x80033B18,0xA80,func_80033DB0,matching_c,game,
0x80034598,0xD68,func_80034830,matching_c,game,
0x80035300,0x30,SortedEntry_Compare,matching_c,game,
0x80035330,0xA0,SortedEntry_SortAndRelink,matching_c,game,
0x800353D0,0x18,func_80035668,matching_c,game,
0x800353E8,0x20,SortedEntry_BeginCollection,matching_c,game,
0x80035408,0xA8,Util_CopyWords,matching_c,game,
0x800354B0,0xA0,Util_FillMemory,matching_c,game,
0x80035550,0xB8,Text_EncodeDecimalDigits,matching_c,game,
0x80035608,0x5C,Text_EncodeDecimalNoPadding,matching_c,game,
0x80035664,0x50,Rand_GetInterval,matching_c,game,
0x800356B4,0x64,Movie_Play,matching_c,game,
0x80035718,0xA8,func_800359B0,matching_c,game,
0x800357C0,0xC,Movie_ResetPlaybackState,matching_c,game,
0x800357CC,0x54,Japanese_func_80035A64,matching_c,game,
0x80035820,0x30,TextBox_SetRect,matching_c,game,
0x80035850,0x80,DuelEffect_InitEntry,matching_c,game,
0x800358D0,0x68,TextBox_Destroy,matching_c,game,
0x80035938,0x54,TextBox_Create,matching_c,game,
0x8003598C,0x70,TextBox_CreateFlagged,matching_c,game,
0x800359FC,0x3C,DuelEffect_ClearOccupancyValue,matching_c,game,
0x80035A38,0x2C,DuelEffect_ResetOccupancy,matching_c,game,
0x80035A64,0xA8,func_80035D10,matching_c,game,
0x80035B0C,0x3C,DuelEffect_ClearMatchingMarker,matching_c,game,
0x80035B48,0x24,DuelEffect_ResetEntryMarkers,matching_c,game,
0x80035B6C,0x6F8,func_80035E20,matching_c,game,
0x80036264,0x48,Text_FindRecordById,matching_c,game,
0x800362AC,0x1E0,func_800362AC,matching_c,game,
0x8003648C,0x1BC,func_80036C14,matching_c,game,
0x80036648,0x34,TextStream_ReadU16LE,matching_c,game,
0x8003667C,0x4C,TextStream_ReadU32LE,matching_c,game,
0x800366C8,0x74,DuelEffect_UpdateObjectLayout,matching_c,game,
0x8003673C,0x8C,Dialog_HighlightChoice,matching_c,game,
0x800367C8,0x104,Dialog_ReadChoiceInput,matching_c,game,
0x800368CC,0x98,Widget_UpdatePulseColour,matching_c,game,
